Survived,Pclass,Sex,Age,Fare,Embarked,Euro_Fare,Binary_Cabin,AgeGroup,Honorific_Name
0,3,male,9.0,31.3875,S,3507.52401821597,0,Kid,Master
1,2,female,4.0,39.0,S,4358.213833864527,1,Kid,Miss
1,1,male,11.0,120.0,S,13409.88871958316,1,Teen,Master
1,3,male,12.0,11.2417,C,1256.2495501578169,0,Teen,Master
0,3,male,16.0,18.0,S,2011.483307937474,0,Teen,Mr
0,3,male,17.0,7.0542,S,788.300308380696,0,Teen,Mr
1,3,female,16.0,7.7333,Q,864.1891036262705,0,Teen,Miss
0,2,male,16.0,26.0,S,2905.475889243018,0,Teen,Mr
0,3,female,17.0,14.4583,C,1615.7016172862434,0,Teen,Miss
0,3,female,11.0,31.275,S,3494.9522475413614,0,Teen,Miss
0,3,male,16.0,7.775,S,868.8490399563256,0,Teen,Mr
1,1,male,17.0,110.8833,C,12391.10594883463,1,Teen,Mr
1,2,female,17.0,12.0,C,1340.988871958316,0,Teen,Miss
1,1,female,16.0,57.9792,C,6479.1218337538,1,Teen,Miss
1,3,male,16.0,8.05,S,899.5800349387039,0,Teen,Mr
0,3,female,14.5,14.4542,C,1615.2434460883244,0,Teen,Miss
1,3,female,15.0,24.15,Q,2698.7401048161105,0,Teen,Miss
0,3,male,16.0,9.5,S,1061.6161903003335,0,Teen,Mr
1,3,female,13.0,7.2292,C,807.8563960967549,0,Teen,Miss
1,1,female,17.0,57.0,S,6369.697141802002,1,Teen,Mrs
0,3,male,16.0,9.2167,S,1029.957678014851,0,Teen,Mr
1,3,female,16.0,7.75,Q,866.0553131397457,0,Teen,Miss
0,3,female,10.0,24.15,S,2698.7401048161105,0,Teen,Miss
0,3,male,15.0,7.2292,C,807.8563960967549,0,Teen,Mr
0,3,male,17.0,7.2292,C,807.8563960967549,0,Teen,Mr
1,1,female,16.0,39.4,S,4402.913462929804,1,Teen,Miss
1,1,female,14.0,120.0,S,13409.88871958316,1,Teen,Miss
1,1,female,16.0,86.5,S,9666.294785366195,1,Teen,Miss
1,3,female,14.0,11.2417,C,1256.2495501578169,0,Teen,Miss
0,3,male,16.0,20.25,S,2262.9187214296585,0,Teen,Mr
0,3,male,17.0,8.6625,S,968.0263419449094,0,Teen,Mr
0,3,male,17.0,8.6625,S,968.0263419449094,0,Teen,Mr
1,2,female,13.0,19.5,S,2179.1069169322636,0,Teen,Miss
1,3,female,15.0,8.0292,Q,897.2556542273093,0,Teen,Miss
1,3,female,15.0,7.225,C,807.3870499915694,0,Teen,Miss
0,3,male,11.0,18.7875,C,2099.4857026597388,0,Teen,Mr
0,3,female,14.0,7.8542,S,877.6995665112504,0,Teen,Miss
1,2,female,14.0,30.0708,C,3360.384014240344,0,Teen,Mrs
0,3,male,16.0,39.6875,S,4435.041321320472,0,Teen,Mr
0,3,male,11.0,46.9,S,5241.031507903752,0,Teen,Master
0,3,male,17.0,7.125,S,796.2121427252503,0,Teen,Mr
1,1,female,17.0,108.9,C,12169.474013021718,1,Teen,Mrs
0,3,male,10.0,27.9,S,3117.7991273030843,0,Teen,Master
0,3,male,17.0,8.6625,S,968.0263419449094,0,Teen,Mr
0,3,male,16.0,34.375,S,3841.374372797259,0,Teen,Mr
1,2,female,17.0,10.5,S,1173.3652629635264,0,Teen,Miss
1,1,female,15.0,211.3375,S,23616.769643957552,1,Teen,Miss
0,2,male,16.0,10.5,S,1173.3652629635264,0,Teen,Mr
0,3,male,16.0,8.05,S,899.5800349387039,0,Teen,Mr
0,3,male,14.0,39.6875,S,4435.041321320472,0,Teen,Mr
1,3,female,15.0,14.4542,C,1615.2434460883244,0,Teen,Mrs
0,3,female,16.0,46.9,S,5241.031507903752,0,Teen,Miss
0,3,male,14.0,46.9,S,5241.031507903752,0,Teen,Mr
1,3,female,17.0,7.925,S,885.6114008558046,0,Teen,Miss
0,3,male,44.0,8.05,S,899.5800349387039,0,Adult,Mr
1,2,female,24.0,27.0,S,3017.2249619062113,0,Adult,Mrs
0,2,male,37.0,26.0,S,2905.475889243018,0,Adult,Mr
0,1,male,42.0,42.4,S,4738.160680919384,0,Adult,Mr
0,3,male,25.333333333333332,7.8958,S,882.3483279340394,0,Adult,Mr
0,3,female,34.333333333333336,7.75,Q,866.0553131397457,0,Adult,Miss
1,2,female,25.0,33.0,S,3687.7193978853693,0,Adult,Miss
0,3,male,38.5,7.225,C,807.3870499915694,0,Adult,Mr
0,3,male,35.0,7.125,S,796.2121427252503,0,Adult,Mr
1,1,male,35.0,26.55,C,2966.9378792077746,0,Adult,Mr
0,3,male,36.0,24.15,S,2698.7401048161105,0,Adult,Mr
0,3,male,22.0,7.25,S,810.1807768081492,0,Adult,Mr
0,2,male,26.0,10.5,S,1173.3652629635264,0,Adult,Mr
0,3,male,30.0,7.8958,S,882.3483279340394,0,Adult,Mr
0,1,male,42.0,0.0,S,0.0,0,Adult,Mr
1,2,female,28.0,13.0,S,1452.737944621509,0,Adult,Miss
0,3,male,32.0,7.925,S,885.6114008558046,0,Adult,Mr
0,2,male,31.0,26.25,S,2933.413157408816,0,Adult,Mr
0,3,female,41.0,39.6875,S,4435.041321320472,0,Adult,Mrs
0,3,male,26.666666666666668,16.1,S,1799.1600698774078,0,Adult,Mr
0,3,male,20.0,7.8542,S,877.6995665112504,0,Adult,Mr
1,1,female,24.0,69.3,C,7744.210735559275,1,Adult,Mlle
1,3,male,28.666666666666668,56.4958,S,6313.353259365219,0,Adult,Mr
0,3,male,19.0,7.8958,S,882.3483279340394,0,Adult,Mr
0,3,male,38.0,7.55,S,843.7054986071072,0,Adult,Mr
1,3,female,23.0,7.55,S,843.7054986071072,0,Adult,Miss
0,3,male,25.333333333333332,7.8958,S,882.3483279340394,0,Adult,Mr
1,2,female,18.0,23.0,S,2570.2286712534387,0,Adult,Miss
0,3,male,21.0,8.4333,S,942.4134544905055,0,Adult,Mr
1,1,male,32.0,30.5,C,3408.3467162273864,1,Adult,Dr
0,3,male,18.666666666666668,7.7333,Q,864.1891036262705,0,Adult,Mr
0,3,male,26.0,7.8958,S,882.3483279340394,0,Adult,Mr
1,1,female,21.0,77.9583,S,8711.767731398999,1,Adult,Miss
1,1,male,27.0,30.5,S,3408.3467162273864,0,Adult,Mr
1,2,female,22.0,41.5792,C,4646.437042077435,0,Adult,Mrs
1,1,female,40.0,153.4625,S,17149.29206357526,1,Adult,Miss
0,3,female,39.0,31.275,S,3494.9522475413614,0,Adult,Mrs
0,3,male,26.666666666666668,7.05,S,787.8309622755106,0,Adult,Mr
1,3,female,21.666666666666668,15.5,Q,1732.1106262794915,0,Adult,Miss
0,3,male,34.333333333333336,7.75,Q,866.0553131397457,0,Adult,Mr
0,3,male,36.0,15.55,S,1737.698079912651,0,Adult,Mr
0,3,male,35.0,8.05,S,899.5800349387039,0,Adult,Mr
0,3,male,34.0,14.4,S,1609.1866463499794,0,Adult,Mr
0,3,female,26.0,16.1,S,1799.1600698774078,0,Adult,Mrs
0,3,male,27.0,14.4542,C,1615.2434460883244,0,Adult,Mr
1,1,male,42.0,52.5542,S,5872.883114555978,1,Adult,Mr
1,3,male,20.0,15.7417,C,1759.1203771421851,0,Adult,Mr
0,3,male,21.0,7.8542,S,877.6995665112504,0,Adult,Mr
0,3,male,21.0,16.1,S,1799.1600698774078,0,Adult,Mr
1,2,female,24.0,65.0,S,7263.689723107545,0,Adult,Miss
0,3,male,33.0,8.05,S,899.5800349387039,0,Adult,Mr
0,1,male,38.666666666666664,227.525,C,25425.70775769299,0,Adult,Mr
1,1,female,18.0,79.65,S,8900.813637623323,1,Adult,Miss
1,3,male,26.0,56.4958,S,6313.353259365219,0,Adult,Mr
1,3,male,29.0,7.75,Q,866.0553131397457,0,Adult,Mr
0,3,male,33.0,8.05,S,899.5800349387039,0,Adult,Mr
1,1,male,36.0,26.2875,S,2937.6037476336865,1,Adult,Mr
0,3,male,24.0,7.4958,S,837.6486988687622,0,Adult,Mr
1,2,female,34.0,10.5,S,1173.3652629635264,1,Adult,Mrs
0,3,male,23.5,24.15,Q,2698.7401048161105,0,Adult,Mr
0,3,male,28.0,22.525,S,2517.147861738422,0,Adult,Mr
1,2,female,36.0,26.0,S,2905.475889243018,0,Adult,Mrs
1,1,female,30.0,93.5,S,10448.538294008546,1,Adult,Miss
0,3,male,22.0,7.8958,S,882.3483279340394,0,Adult,Mr
0,3,male,38.5,7.225,C,807.3870499915694,0,Adult,Mr
1,1,female,44.0,57.9792,C,6479.1218337538,1,Adult,Mrs
0,3,male,26.833333333333332,7.2292,C,807.8563960967549,0,Adult,Mr
0,3,male,40.5,7.75,Q,866.0553131397457,0,Adult,Mr
0,1,male,42.0,221.7792,S,24783.619935984814,1,Adult,Mr
0,3,male,32.0,7.8958,S,882.3483279340394,0,Adult,Mr
0,3,male,39.0,7.925,S,885.6114008558046,0,Adult,Mr
1,1,male,43.333333333333336,26.55,S,2966.9378792077746,0,Adult,Mr
0,1,male,18.0,108.9,C,12169.474013021718,1,Adult,Mr
0,3,male,29.0,7.0458,S,787.3616161703253,0,Adult,Mr
0,3,male,22.0,7.5208,S,840.442425685342,0,Adult,Mr
0,2,male,23.333333333333332,0.0,S,0.0,0,Adult,Mr
1,1,male,25.0,91.0792,C,10178.016138905488,1,Adult,Mr
1,1,female,35.0,90.0,S,10057.416539687369,1,Adult,Mrs
0,3,male,30.0,8.05,S,899.5800349387039,0,Adult,Mr
0,3,male,22.666666666666668,19.9667,S,2231.260209144176,0,Adult,Mr
1,2,female,33.0,26.0,S,2905.475889243018,0,Adult,Mrs
0,3,male,21.0,7.25,S,810.1807768081492,0,Adult,Mr
0,3,male,25.166666666666668,14.4583,C,1615.7016172862434,0,Adult,Mr
0,3,male,34.666666666666664,15.1,S,1687.4109972142144,0,Adult,Mr
0,1,female,25.0,151.55,S,16935.5719621069,1,Adult,Mrs
0,3,male,24.0,7.7958,S,871.1734206677199,0,Adult,Mr
0,3,female,21.0,7.75,Q,866.0553131397457,0,Adult,Miss
0,3,female,23.5,7.6292,Q,852.5560251620321,0,Adult,Miss
0,3,female,37.0,9.5875,S,1071.394234158363,0,Adult,Miss
0,3,male,21.0,8.05,S,899.5800349387039,0,Adult,Mr
0,2,male,23.0,11.5,S,1285.1143356267194,0,Adult,Mr
0,3,male,26.833333333333332,7.2292,C,807.8563960967549,0,Adult,Mr
1,3,female,19.666666666666668,22.3583,C,2498.519291325468,0,Adult,Mrs
0,3,male,24.0,24.15,S,2698.7401048161105,0,Adult,Mr
0,3,male,19.0,7.8958,S,882.3483279340394,0,Adult,Mr
0,3,female,29.0,21.075,S,2355.1117063767924,0,Adult,Mrs
0,3,male,26.833333333333332,7.2292,C,807.8563960967549,0,Adult,Mr
1,3,male,32.0,7.8542,S,877.6995665112504,0,Adult,Mr
1,1,male,36.0,26.3875,S,2948.778654900005,1,Adult,Mr
1,3,female,28.166666666666668,7.75,Q,866.0553131397457,0,Adult,Miss
0,3,female,33.0,8.05,S,899.5800349387039,0,Adult,Miss
0,3,male,19.0,14.5,S,1620.3615536162984,0,Adult,Mr
1,1,female,39.0,55.9,S,6246.773161872489,1,Adult,Mrs
0,3,female,19.5,14.4583,C,1615.7016172862434,0,Adult,Mrs
1,3,male,32.0,7.925,S,885.6114008558046,0,Adult,Mr
1,2,female,25.0,30.0,S,3352.47217989579,0,Adult,Miss
1,1,female,39.0,110.8833,C,12391.10594883463,1,Adult,Mrs
0,1,male,36.0,40.125,C,4483.93154061062,1,Adult,Mr
0,3,male,29.5,8.7125,C,973.613795578069,0,Adult,Mr
1,2,female,34.0,13.0,S,1452.737944621509,0,Adult,Miss
0,3,male,33.0,8.05,S,899.5800349387039,0,Adult,Mr
0,2,male,28.0,13.5,S,1508.6124809531057,0,Adult,Mr
0,3,male,40.0,7.8958,S,882.3483279340394,0,Adult,Mr
0,3,female,30.0,8.6625,S,968.0263419449094,0,Adult,Miss
0,1,male,45.0,26.55,S,2966.9378792077746,1,Adult,Major
1,1,female,30.0,106.425,C,11892.895058180315,0,Adult,Miss
0,3,male,35.5,14.5,S,1620.3615536162984,0,Adult,Mr
1,1,female,22.0,49.5,C,5531.579096828054,1,Adult,Miss
1,1,female,36.0,71.0,S,7934.1841590867025,1,Adult,Miss
1,2,male,32.0,26.0,S,2905.475889243018,0,Adult,Mr
1,2,female,19.0,26.0,S,2905.475889243018,0,Adult,Mrs
1,2,male,27.333333333333332,13.8625,C,1549.121519793513,0,Adult,Mr
0,3,male,33.0,20.525,S,2293.649716412036,0,Adult,Mr
0,2,male,27.0,26.0,S,2905.475889243018,0,Adult,Mr
0,3,male,23.5,7.8292,Q,874.9058396946707,0,Adult,Mr
1,3,male,22.0,7.225,C,807.3870499915694,0,Adult,Mr
1,3,female,22.0,7.775,S,868.8490399563256,0,Adult,Miss
1,1,female,39.0,79.65,S,8900.813637623323,1,Adult,Mrs
1,3,female,36.0,17.4,S,1944.433864339558,0,Adult,Mrs
0,3,male,34.333333333333336,7.75,Q,866.0553131397457,0,Adult,Mr
0,3,male,22.0,8.05,S,899.5800349387039,0,Adult,Mr
1,3,female,18.666666666666668,7.8292,Q,874.9058396946707,0,Adult,Miss
0,3,male,44.0,8.05,S,899.5800349387039,0,Adult,Mr
0,2,male,24.0,73.5,S,8213.556840744686,0,Adult,Mr
0,2,male,39.0,13.0,S,1452.737944621509,0,Adult,Mr
1,1,female,33.0,53.1,S,5933.875758415549,1,Adult,Mrs
0,3,male,26.0,7.8875,S,881.4208106309349,0,Adult,Mr
0,3,male,39.0,24.15,S,2698.7401048161105,0,Adult,Mr
0,2,male,35.0,10.5,S,1173.3652629635264,0,Adult,Mr
0,3,male,30.5,8.05,S,899.5800349387039,0,Adult,Mr
0,1,male,42.0,0.0,S,0.0,1,Adult,Mr
0,3,female,23.0,7.925,S,885.6114008558046,0,Adult,Miss
0,2,male,31.0,37.0042,C,4135.185034643327,0,Adult,Mr
0,3,male,43.0,6.45,S,720.7815186775949,0,Adult,Mr
1,3,male,27.0,8.6625,S,968.0263419449094,0,Adult,Mr
0,1,male,38.0,0.0,S,0.0,0,Adult,Jonkheer
1,3,female,27.0,12.475,S,1394.0696814733326,1,Adult,Mrs
0,3,male,23.5,6.95,Q,776.6560550091914,0,Adult,Mr
0,3,male,28.666666666666668,56.4958,S,6313.353259365219,0,Adult,Mr
1,3,male,28.166666666666668,7.75,Q,866.0553131397457,0,Adult,Mr
0,3,male,26.833333333333332,7.2292,C,807.8563960967549,0,Adult,Mr
0,3,female,18.0,7.775,S,868.8490399563256,0,Adult,Miss
0,1,male,39.0,0.0,S,0.0,1,Adult,Mr
0,3,male,31.0,7.775,S,868.8490399563256,0,Adult,Mr
1,3,male,27.0,6.975,S,779.4497818257711,0,Adult,Mr
0,3,male,18.0,7.75,S,866.0553131397457,0,Adult,Mr
0,3,male,34.333333333333336,7.75,Q,866.0553131397457,1,Adult,Mr
0,3,male,23.5,7.7375,Q,864.6584497314559,0,Adult,Mr
1,1,female,43.0,211.3375,S,23616.769643957552,1,Adult,Mrs
0,1,male,29.0,30.0,S,3352.47217989579,1,Adult,Mr
0,3,male,23.0,23.45,S,2620.515753951876,0,Adult,Mr
0,3,male,25.0,7.05,S,787.8309622755106,0,Adult,Mr
0,3,male,25.0,7.25,S,810.1807768081492,0,Adult,Mr
0,3,male,23.0,7.8542,S,877.6995665112504,0,Adult,Mr
1,3,female,18.0,7.4958,S,837.6486988687622,0,Adult,Miss
0,3,female,33.166666666666664,69.55,S,7772.148003725073,0,Adult,Miss
0,3,male,25.0,7.8958,S,882.3483279340394,0,Adult,Mr
0,2,male,39.0,13.0,S,1452.737944621509,0,Adult,Mr
1,3,female,31.0,8.6833,S,970.3507226563038,0,Adult,Mrs
0,3,male,30.0,7.2292,C,807.8563960967549,0,Adult,Mr
0,3,female,30.0,24.15,S,2698.7401048161105,0,Adult,Mrs
0,2,male,34.0,13.0,S,1452.737944621509,0,Adult,Mr
1,2,female,31.0,26.25,S,2933.413157408816,0,Adult,Mrs
0,3,male,34.333333333333336,7.75,Q,866.0553131397457,0,Adult,Mr
0,3,male,38.5,7.225,C,807.3870499915694,0,Adult,Mr
0,3,male,18.0,8.3,S,927.5173031045019,0,Adult,Mr
0,3,male,21.0,8.6625,S,968.0263419449094,0,Adult,Mr
0,1,male,31.0,50.4958,S,5642.858823386062,1,Adult,Mr
0,3,male,25.666666666666668,9.5,S,1061.6161903003335,0,Adult,Mr
0,3,male,26.0,7.8958,S,882.3483279340394,0,Adult,Mr
0,1,male,33.0,5.0,S,558.745363315965,1,Adult,Mr
1,2,female,28.0,24.0,C,2681.977743916632,0,Adult,Mrs
0,3,male,20.0,9.8458,S,1100.2590196272658,0,Adult,Mr
0,3,male,19.0,7.8958,S,882.3483279340394,0,Adult,Mr
0,3,male,25.333333333333332,7.8958,S,882.3483279340394,0,Adult,Mr
1,2,female,25.0,26.0,S,2905.475889243018,0,Adult,Mrs
0,3,male,33.0,7.8958,S,882.3483279340394,0,Adult,Mr
0,3,female,22.0,10.5167,S,1175.231472477002,0,Adult,Miss
0,2,male,28.0,10.5,S,1173.3652629635264,0,Adult,Mr
0,3,male,25.0,7.05,S,787.8309622755106,0,Adult,Mr
0,3,female,39.0,29.125,Q,3254.6917413154965,0,Adult,Mrs
0,2,male,27.0,13.0,S,1452.737944621509,0,Adult,Rev
1,1,female,19.0,30.0,S,3352.47217989579,1,Adult,Miss
0,3,female,23.0,23.45,S,2620.515753951876,0,Adult,Miss
1,2,female,27.0,13.8583,C,1548.6521736883276,0,Adult,Miss
1,2,female,42.0,13.0,S,1452.737944621509,0,Adult,Mrs
0,2,male,24.0,13.0,S,1452.737944621509,0,Adult,Mr
0,3,female,33.166666666666664,69.55,S,7772.148003725073,0,Adult,Miss
0,3,male,33.0,8.05,S,899.5800349387039,0,Adult,Mr
1,3,male,32.0,56.4958,S,6313.353259365219,0,Adult,Mr
1,1,male,31.333333333333332,29.7,C,3318.947458096832,1,Adult,Mr
0,3,male,20.0,7.925,S,885.6114008558046,0,Adult,Mr
1,1,female,30.0,31.0,C,3464.221252558983,0,Adult,Miss
0,3,male,34.5,6.4375,C,719.3846552693049,0,Adult,Mr
0,3,male,42.0,7.55,S,843.7054986071072,0,Adult,Mr
0,3,male,33.166666666666664,69.55,S,7772.148003725073,0,Adult,Mr
1,1,female,39.0,83.1583,C,9292.862909247602,1,Adult,Miss
0,3,male,35.0,7.8958,C,882.3483279340394,0,Adult,Mr
1,1,female,40.0,89.1042,C,9957.311720395683,1,Adult,Mrs
0,2,female,44.0,26.0,S,2905.475889243018,0,Adult,Mrs
1,3,female,18.0,9.35,S,1044.8538294008547,0,Adult,Mrs
1,1,female,45.0,164.8667,S,18423.700838040844,0,Adult,Mrs
1,3,female,24.0,19.2583,C,2152.0971660695695,0,Adult,Mrs
0,3,male,26.833333333333332,7.2292,C,807.8563960967549,0,Adult,Mr
0,3,male,41.0,14.1083,S,1576.5894418541259,0,Adult,Mr
0,2,male,21.0,11.5,S,1285.1143356267194,0,Adult,Mr
0,2,male,28.0,33.0,S,3687.7193978853693,0,Adult,Rev
0,3,female,18.0,6.75,Q,754.3062404765528,0,Adult,Miss
0,3,male,24.0,9.5,S,1061.6161903003335,0,Adult,Mr
0,3,male,25.5,24.15,Q,2698.7401048161105,0,Adult,Mr
0,3,male,20.0,9.225,S,1030.8851953179555,0,Adult,Mr
0,2,male,25.0,41.5792,C,4646.437042077435,0,Adult,Mr
0,3,male,19.0,10.1708,S,1136.5774682428034,0,Adult,Mr
0,3,male,18.0,7.7958,S,871.1734206677199,0,Adult,Mr
1,1,male,31.0,57.0,S,6369.697141802002,1,Adult,Mr
1,3,male,28.666666666666668,56.4958,S,6313.353259365219,0,Adult,Mr
0,3,male,25.0,7.225,C,807.3870499915694,0,Adult,Mr
0,2,male,34.0,21.0,S,2346.730525927053,0,Adult,Mr
1,3,female,18.666666666666668,7.7333,Q,864.1891036262705,0,Adult,Miss
0,3,male,42.0,7.65,S,854.8804058734266,1,Adult,Mr
1,1,female,18.0,227.525,C,25425.70775769299,1,Adult,Mrs
1,1,male,35.0,26.2875,S,2937.6037476336865,1,Adult,Mr
0,3,female,18.0,14.4542,C,1615.2434460883244,0,Adult,Miss
0,3,male,25.0,7.7417,Q,865.1277958366413,0,Adult,Mr
0,3,male,26.0,7.8542,S,877.6995665112504,0,Adult,Mr
0,2,male,39.0,26.0,S,2905.475889243018,0,Adult,Mr
1,2,female,45.0,13.5,S,1508.6124809531057,0,Adult,Mrs
1,1,male,27.0,76.7292,C,8574.41694618867,1,Adult,Mr
0,3,female,23.5,8.1375,Q,909.358078796733,0,Adult,Miss
1,1,male,36.0,512.3292,C,57252.31299827554,1,Adult,Mr
0,3,female,43.0,46.9,S,5241.031507903752,0,Adult,Mrs
0,3,male,25.333333333333332,7.8958,S,882.3483279340394,0,Adult,Mr
0,3,female,32.0,15.5,Q,1732.1106262794915,0,Adult,Mrs
0,2,male,23.0,13.0,S,1452.737944621509,0,Adult,Mr
0,3,male,40.0,7.225,C,807.3870499915694,0,Adult,Mr
0,3,male,36.0,7.4958,S,837.6486988687622,0,Adult,Mr
1,3,male,20.0,7.925,S,885.6114008558046,0,Adult,Mr
0,2,male,32.0,73.5,S,8213.556840744686,0,Adult,Mr
0,2,male,25.0,13.0,S,1452.737944621509,0,Adult,Mr
1,1,male,42.0,26.2875,S,2937.6037476336865,1,Adult,Mr
0,3,male,24.666666666666668,7.775,S,868.8490399563256,0,Adult,Mr
1,1,female,41.666666666666664,52.0,S,5810.951778486036,1,Adult,Mrs
1,2,female,40.0,39.0,S,4358.213833864527,0,Adult,Mrs
0,1,male,31.0,52.0,S,5810.951778486036,1,Adult,Mr
1,2,male,31.0,13.0,S,1452.737944621509,0,Adult,Mr
0,2,male,23.333333333333332,0.0,S,0.0,0,Adult,Mr
0,3,male,18.0,7.775,S,868.8490399563256,0,Adult,Mr
0,3,male,24.5,8.05,S,899.5800349387039,0,Adult,Mr
1,3,female,18.0,9.8417,S,1099.8008484293464,0,Adult,Miss
0,3,male,43.0,8.05,S,899.5800349387039,0,Adult,Mr
0,3,male,32.0,8.3625,S,934.5016201459516,0,Adult,Mr
1,1,female,22.0,151.55,S,16935.5719621069,0,Adult,Miss
0,3,male,29.0,9.4833,S,1059.7499807868583,0,Adult,Mr
1,1,female,21.0,262.375,C,29320.162940005266,1,Adult,Miss
0,3,male,24.0,16.1,S,1799.1600698774078,0,Adult,Mr
1,3,male,31.0,7.925,S,885.6114008558046,0,Adult,Mr
1,2,female,30.0,13.0,S,1452.737944621509,0,Adult,Miss
0,1,male,19.0,53.1,S,5933.875758415549,1,Adult,Mr
0,3,male,31.0,7.75,Q,866.0553131397457,0,Adult,Mr
0,3,male,33.0,9.5,S,1061.6161903003335,0,Adult,Mr
0,3,male,23.0,7.8958,S,882.3483279340394,0,Adult,Mr
0,3,male,28.0,7.7958,S,871.1734206677199,0,Adult,Mr
0,2,male,18.0,11.5,S,1285.1143356267194,0,Adult,Mr
